ID;LON;LAT;ag
33467;12,0899;47,071;0,0427
33468;12,1193;47,0713;0,043
33469;12,1487;47,0716;0,0434
33470;12,1781;47,0719;0,0437
33471;12,2075;47,0723;0,0441
34019;12,0316;47,0502;0,0427
34020;12,061;47,0505;0,0431
34021;12,0904;47,0509;0,0434
34022;12,1198;47,0512;0,0438
34023;12,1492;47,0515;0,0442
34024;12,1786;47,0518;0,0446
34025;12,208;47,0522;0,045
34570;11,944;47,029;0,0424
34571;11,9734;47,0294;0,0428
34572;12,0027;47,0297;0,0431
34573;12,0322;47,0301;0,0435
34574;12,0615;47,0304;0,0439
34575;12,0909;47,0308;0,0443
34576;12,1203;47,0311;0,0447
34577;12,1497;47,0314;0,0451
34578;12,1791;47,0317;0,0455
35108;11,4746;47,0022;0,0387
35109;11,504;47,0026;0,0389
35112;11,5921;47,004;0,0395
35113;11,6215;47,0045;0,0397
35122;11,8858;47,0082;0,0424
35123;11,9151;47,0086;0,0428
35124;11,9445;47,0089;0,0431
35125;11,9739;47,0093;0,0435
35126;12,0033;47,0097;0,0439
35127;12,0326;47,01;0,0443
35128;12,062;47,0103;0,0447
35129;12,0914;47,0107;0,0452
35130;12,1208;47,011;0,0456
35655;11,2698;46,9786;0,038
35656;11,2992;46,9791;0,0381
35657;11,3285;46,9796;0,0382
35658;11,3579;46,9801;0,0383
35661;11,446;46,9816;0,0389
35662;11,4754;46,9821;0,039
35663;11,5047;46,9825;0,0392
35664;11,534;46,983;0,0395
35665;11,5633;46,9835;0,0397
35666;11,5927;46,9839;0,0399
35667;11,6221;46,9844;0,0402
35668;11,6514;46,9848;0,0404
35669;11,6808;46,9852;0,0407
35670;11,7102;46,9857;0,041
35673;11,7982;46,9869;0,042
35674;11,8276;46,9873;0,0424
35675;11,857;46,9877;0,0428
35676;11,8864;46,9881;0,0431
35677;11,9157;46,9885;0,0435
35678;11,9451;46,9888;0,0439
35679;11,9744;46,9892;0,0444
35680;12,0038;46,9896;0,0448
35681;12,0331;46,9899;0,0452
35682;12,0625;46,9903;0,0457
35683;12,0919;46,9906;0,0461
35684;12,1212;46,9909;0,0466
36206;11,1826;46,9568;0,0382
36207;11,212;46,9574;0,0382
36208;11,2413;46,9579;0,0382
36209;11,2706;46,9585;0,0383
36210;11,2999;46,959;0,0384
36211;11,3293;46,9595;0,0385
36212;11,3586;46,96;0,0387
36213;11,388;46,9605;0,0389
36214;11,4173;46,961;0,039
36215;11,4467;46,9615;0,0392
36216;11,476;46,962;0,0394
36217;11,5054;46,9625;0,0396
36218;11,5347;46,9629;0,0399
36219;11,5641;46,9634;0,0401
36220;11,5934;46,9638;0,0404
